"Model","Repeat","Fold","Sample","Dataset","Target"
"sblm",1,1,3.93836734693877,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,2.5565306122449,"forestfires","area"
"sblm",1,1,1.60448979591837,"forestfires","area"
"sblm",1,1,3.31265306122449,"forestfires","area"
"sblm",1,1,2.14367346938776,"forestfires","area"
"sblm",1,1,5.33714285714286,"forestfires","area"
"sblm",1,1,8.57857142857143,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,10.0116326530612,"forestfires","area"
"sblm",1,1,30.5771428571428,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,12.1375510204082,"forestfires","area"
"sblm",1,1,2.37020408163265,"forestfires","area"
"sblm",1,1,2.37020408163265,"forestfires","area"
"sblm",1,1,8.57857142857143,"forestfires","area"
"sblm",1,1,10.0116326530612,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,6.73122448979592,"forestfires","area"
"sblm",1,1,44.5240816326531,"forestfires","area"
"sblm",1,1,1.08020408163265,"forestfires","area"
"sblm",1,1,3.93836734693877,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,6.06081632653061,"forestfires","area"
"sblm",1,1,24.7663265306122,"forestfires","area"
"sblm",1,1,10.0116326530612,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,10.7538775510204,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,1.60448979591837,"forestfires","area"
"sblm",1,1,3.93836734693877,"forestfires","area"
"sblm",1,1,9.27857142857143,"forestfires","area"
"sblm",1,1,5.68673469387755,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,3.08061224489796,"forestfires","area"
"sblm",1,1,2.00020408163265,"forestfires","area"
"sblm",1,1,24.7663265306122,"forestfires","area"
"sblm",1,1,57.3775510204081,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,22.2620408163265,"forestfires","area"
"sblm",1,1,15.4140816326531,"forestfires","area"
"sblm",1,1,5.68673469387755,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,8.01714285714286,"forestfires","area"
"sblm",1,1,30.5771428571428,"forestfires","area"
"sblm",1,1,6.06081632653061,"forestfires","area"
"sblm",1,1,17.0204081632653,"forestfires","area"
"sblm",1,1,0.333061224489796,"forestfires","area"
"sblm",1,1,5.33714285714286,"forestfires","area"
"sblm",1,1,1.45142857142857,"forestfires","area"
"sblm",1,1,1.45142857142857,"forestfires","area"
"sblm",1,1,66.7861224489796,"forestfires","area"
"sblm",1,1,1.24836734693878,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,2.14367346938776,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,1.74755102040816,"forestfires","area"
"sblm",1,1,10.7538775510204,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,30.5771428571428,"forestfires","area"
"sblm",1,1,44.5240816326531,"forestfires","area"
"sblm",1,1,10.7538775510204,"forestfires","area"
"sblm",1,1,2.75857142857143,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,7.39020408163265,"forestfires","area"
"sblm",1,1,3.08061224489796,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,7.13795918367347,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,1.60448979591837,"forestfires","area"
"sblm",1,1,28.2283673469388,"forestfires","area"
"sblm",1,1,10.0116326530612,"forestfires","area"
"sblm",1,1,1.74755102040816,"forestfires","area"
"sblm",1,1,6.73122448979592,"forestfires","area"
"sblm",1,1,0.333061224489796,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,0.333061224489796,"forestfires","area"
"sblm",1,1,10.0116326530612,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,1.74755102040816,"forestfires","area"
"sblm",1,1,6.43448979591837,"forestfires","area"
"sblm",1,1,9.27857142857143,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,7.39020408163265,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,24.7663265306122,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,4.88285714285714,"forestfires","area"
"sblm",1,1,8.01714285714286,"forestfires","area"
"sblm",1,1,1.60448979591837,"forestfires","area"
"sblm",1,1,6.43448979591837,"forestfires","area"
"sblm",1,1,10.7538775510204,"forestfires","area"
"sblm",1,1,1.45142857142857,"forestfires","area"
"sblm",1,1,2.5565306122449,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,30.5771428571428,"forestfires","area"
"sblm",1,1,0.524081632653061,"forestfires","area"
"sblm",1,1,8.57857142857143,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,1.24836734693878,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,3.60081632653061,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,10.7538775510204,"forestfires","area"
"sblm",1,1,3.31265306122449,"forestfires","area"
"sblm",1,1,12.1375510204082,"forestfires","area"
"sblm",1,1,15.4140816326531,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,1.74755102040816,"forestfires","area"
"sblm",1,1,6.06081632653061,"forestfires","area"
"sblm",1,1,11.2010204081633,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,13.8657142857143,"forestfires","area"
"sblm",1,1,4.88285714285714,"forestfires","area"
"sblm",1,1,3.08061224489796,"forestfires","area"
"sblm",1,1,12.1375510204082,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,8.01714285714286,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,24.7663265306122,"forestfires","area"
"sblm",1,1,2.00020408163265,"forestfires","area"
"sblm",1,1,6.06081632653061,"forestfires","area"
"sblm",1,1,2.14367346938776,"forestfires","area"
"sblm",1,1,28.2283673469388,"forestfires","area"
"sblm",1,1,4.88285714285714,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,3.60081632653061,"forestfires","area"
"sblm",1,1,7.13795918367347,"forestfires","area"
"sblm",1,1,0.713061224489796,"forestfires","area"
"sblm",1,1,3.08061224489796,"forestfires","area"
"sblm",1,1,3.08061224489796,"forestfires","area"
"sblm",1,1,2.75857142857143,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,6.73122448979592,"forestfires","area"
"sblm",1,1,28.2283673469388,"forestfires","area"
"sblm",1,1,5.68673469387755,"forestfires","area"
"sblm",1,1,6.06081632653061,"forestfires","area"
"sblm",1,1,0.713061224489796,"forestfires","area"
"sblm",1,1,2.14367346938776,"forestfires","area"
"sblm",1,1,0.524081632653061,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,15.4140816326531,"forestfires","area"
"sblm",1,1,2.00020408163265,"forestfires","area"
"sblm",1,1,6.73122448979592,"forestfires","area"
"sblm",1,1,8.01714285714286,"forestfires","area"
"sblm",1,1,3.31265306122449,"forestfires","area"
"sblm",1,1,8.01714285714286,"forestfires","area"
"sblm",1,1,2.14367346938776,"forestfires","area"
"sblm",1,1,2.00020408163265,"forestfires","area"
"sblm",1,1,3.08061224489796,"forestfires","area"
"sblm",1,1,0.524081632653061,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,0.713061224489796,"forestfires","area"
"sblm",1,1,1.74755102040816,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,3.93836734693877,"forestfires","area"
"sblm",1,1,28.2283673469388,"forestfires","area"
"sblm",1,1,6.06081632653061,"forestfires","area"
"sblm",1,1,4.41938775510204,"forestfires","area"
"sblm",1,1,2.5565306122449,"forestfires","area"
"sblm",1,1,24.7663265306122,"forestfires","area"
"sblm",1,1,13.8657142857143,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,1.60448979591837,"forestfires","area"
"sblm",1,1,12.1375510204082,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,8.57857142857143,"forestfires","area"
"sblm",1,1,24.7663265306122,"forestfires","area"
"sblm",1,1,2.00020408163265,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,10.7538775510204,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,1.60448979591837,"forestfires","area"
"sblm",1,1,1.08020408163265,"forestfires","area"
"sblm",1,1,10.7538775510204,"forestfires","area"
"sblm",1,1,6.43448979591837,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,2.14367346938776,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,36.1571428571429,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,2.75857142857143,"forestfires","area"
"sblm",1,1,0.834897959183673,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,7.39020408163265,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,6.43448979591837,"forestfires","area"
"sblm",1,1,2.75857142857143,"forestfires","area"
"sblm",1,1,4.88285714285714,"forestfires","area"
"sblm",1,1,6.73122448979592,"forestfires","area"
"sblm",1,1,4.88285714285714,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,1.60448979591837,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,30.5771428571428,"forestfires","area"
"sblm",1,1,39.8114285714286,"forestfires","area"
"sblm",1,1,9.27857142857143,"forestfires","area"
"sblm",1,1,8.57857142857143,"forestfires","area"
"sblm",1,1,6.43448979591837,"forestfires","area"
"sblm",1,1,9.27857142857143,"forestfires","area"
"sblm",1,1,10.0116326530612,"forestfires","area"
"sblm",1,1,13.8657142857143,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,22.2620408163265,"forestfires","area"
"sblm",1,1,2.14367346938776,"forestfires","area"
"sblm",1,1,7.13795918367347,"forestfires","area"
"sblm",1,1,0.333061224489796,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,6.43448979591837,"forestfires","area"
"sblm",1,1,11.2010204081633,"forestfires","area"
"sblm",1,1,2.00020408163265,"forestfires","area"
"sblm",1,1,0.713061224489796,"forestfires","area"
"sblm",1,1,13.8657142857143,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,12.1375510204082,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,3.60081632653061,"forestfires","area"
"sblm",1,1,0.524081632653061,"forestfires","area"
"sblm",1,1,1.24836734693878,"forestfires","area"
"sblm",1,1,4.41938775510204,"forestfires","area"
"sblm",1,1,2.5565306122449,"forestfires","area"
"sblm",1,1,4.88285714285714,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,2.14367346938776,"forestfires","area"
"sblm",1,1,1.74755102040816,"forestfires","area"
"sblm",1,1,10.7538775510204,"forestfires","area"
"sblm",1,1,3.08061224489796,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,8.01714285714286,"forestfires","area"
"sblm",1,1,3.31265306122449,"forestfires","area"
"sblm",1,1,66.7861224489796,"forestfires","area"
"sblm",1,1,2.75857142857143,"forestfires","area"
"sblm",1,1,3.93836734693877,"forestfires","area"
"sblm",1,1,39.8114285714286,"forestfires","area"
"sblm",1,1,13.8657142857143,"forestfires","area"
"sblm",1,1,2.00020408163265,"forestfires","area"
"sblm",1,1,0.333061224489796,"forestfires","area"
"sblm",1,1,8.57857142857143,"forestfires","area"
"sblm",1,1,2.00020408163265,"forestfires","area"
"sblm",1,1,71.134693877551,"forestfires","area"
"sblm",1,1,1.74755102040816,"forestfires","area"
"sblm",1,1,1.74755102040816,"forestfires","area"
"sblm",1,1,10.0116326530612,"forestfires","area"
"sblm",1,1,8.57857142857143,"forestfires","area"
"sblm",1,1,3.08061224489796,"forestfires","area"
"sblm",1,1,4.88285714285714,"forestfires","area"
"sblm",1,1,1.74755102040816,"forestfires","area"
"sblm",1,1,7.39020408163265,"forestfires","area"
"sblm",1,1,2.75857142857143,"forestfires","area"
"sblm",1,1,28.2283673469388,"forestfires","area"
"sblm",1,1,3.31265306122449,"forestfires","area"
"sblm",1,1,10.7538775510204,"forestfires","area"
"sblm",1,1,2.00020408163265,"forestfires","area"
"sblm",1,1,3.60081632653061,"forestfires","area"
"sblm",1,1,5.68673469387755,"forestfires","area"
"sblm",1,1,11.2010204081633,"forestfires","area"
"sblm",1,1,0.713061224489796,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,1.45142857142857,"forestfires","area"
"sblm",1,1,3.93836734693877,"forestfires","area"
"sblm",1,1,7.13795918367347,"forestfires","area"
"sblm",1,1,44.5240816326531,"forestfires","area"
"sblm",1,1,9.27857142857143,"forestfires","area"
"sblm",1,1,10.7538775510204,"forestfires","area"
"sblm",1,1,3.93836734693877,"forestfires","area"
"sblm",1,1,2.14367346938776,"forestfires","area"
"sblm",1,1,9.27857142857143,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,0,"forestfires","area"
"sblm",1,1,2.14367346938776,"forestfires","area"
"sblm",1,1,0.312534693877551,"bikesharing","windspeed"
"sblm",1,1,0.133083673469388,"bikesharing","windspeed"
"sblm",1,1,0,"bikesharing","windspeed"
"sblm",1,1,0.243057142857143,"bikesharing","windspeed"
"sblm",1,1,0.0923367346938776,"bikesharing","windspeed"
"sblm",1,1,0.190973469387755,"bikesharing","windspeed"
"sblm",1,1,0.133083673469388,"bikesharing","windspeed"
"sblm",1,1,0.260418367346939,"bikesharing","windspeed"
"sblm",1,1,0.243057142857143,"bikesharing","windspeed"
"sblm",1,1,0.256751020408163,"bikesharing","windspeed"
"sblm",1,1,0.312502040816326,"bikesharing","windspeed"
"sblm",1,1,0.121528571428571,"bikesharing","windspeed"
"sblm",1,1,0.203763265306122,"bikesharing","windspeed"
"sblm",1,1,0.168457142857143,"bikesharing","windspeed"
"sblm",1,1,0.101155102040816,"bikesharing","windspeed"
"sblm",1,1,0.0694448979591837,"bikesharing","windspeed"
"sblm",1,1,0.239104081632653,"bikesharing","windspeed"
"sblm",1,1,0.133083673469388,"bikesharing","windspeed"
"sblm",1,1,0.260418367346939,"bikesharing","windspeed"
"sblm",1,1,0.168457142857143,"bikesharing","windspeed"
"sblm",1,1,0.133083673469388,"bikesharing","windspeed"
"sblm",1,1,0,"bikesharing","windspeed"
"sblm",1,1,0.243057142857143,"bikesharing","windspeed"
"sblm",1,1,0.296675510204082,"bikesharing","windspeed"
"sblm",1,1,0.18609387755102,"bikesharing","windspeed"
"sblm",1,1,0.400871428571429,"bikesharing","windspeed"
"sblm",1,1,0.190973469387755,"bikesharing","windspeed"
"sblm",1,1,0.133083673469388,"bikesharing","windspeed"
"sblm",1,1,0.168457142857143,"bikesharing","windspeed"
"sblm",1,1,0.18609387755102,"bikesharing","windspeed"
"sblm",1,1,0.277779591836735,"bikesharing","windspeed"
"sblm",1,1,0.0868061224489796,"bikesharing","windspeed"
"sblm",1,1,0.459659183673469,"bikesharing","windspeed"
"sblm",1,1,0.138889795918367,"bikesharing","windspeed"
"sblm",1,1,0.104167346938775,"bikesharing","windspeed"
"sblm",1,1,0.0173612244897959,"bikesharing","windspeed"
"sblm",1,1,0.0923367346938776,"bikesharing","windspeed"
"sblm",1,1,0.138889795918367,"bikesharing","windspeed"
"sblm",1,1,0.347224489795918,"bikesharing","windspeed"
"sblm",1,1,0.239104081632653,"bikesharing","windspeed"
"sblm",1,1,0.221459183673469,"bikesharing","windspeed"
"sblm",1,1,0,"bikesharing","windspeed"
"sblm",1,1,0.168457142857143,"bikesharing","windspeed"
"sblm",1,1,0.203763265306122,"bikesharing","windspeed"
"sblm",1,1,0.18609387755102,"bikesharing","windspeed"
"sblm",1,1,0.173612244897959,"bikesharing","windspeed"
"sblm",1,1,0.347224489795918,"bikesharing","windspeed"
"sblm",1,1,0,"bikesharing","windspeed"
"sblm",1,1,0.221459183673469,"bikesharing","windspeed"
"sblm",1,1,0.243057142857143,"bikesharing","windspeed"
"sblm",1,1,0.277779591836735,"bikesharing","windspeed"
"sblm",1,1,0.0868061224489796,"bikesharing","windspeed"
"sblm",1,1,0.0694448979591837,"bikesharing","windspeed"
"sblm",1,1,0.239104081632653,"bikesharing","windspeed"
"sblm",1,1,0.150775510204082,"bikesharing","windspeed"
"sblm",1,1,0.208334693877551,"bikesharing","windspeed"
