"Scenario","Iteration","N_train","Latent_Min","Latent_Max"
"identity",1,150,-37.498771949274,267.502356250805
"identity",2,150,-42.8029257512876,227.368989042353
"identity",3,150,-36.3509399291209,259.074717940945
"identity",4,150,-33.6669825482692,317.2793609285
"identity",5,150,-44.1426753732459,256.825185846727
"identity",6,150,-37.7754435660597,271.296773084544
"identity",7,150,-39.0527044499669,322.373279874409
"identity",8,150,-39.7664444636777,328.731013304478
"identity",9,150,-34.0099330069408,292.9744525701
"identity",10,150,-39.7723280972509,298.979132209407
"identity",11,150,-33.049561152133,235.548382332173
"identity",12,150,-40.6234681947362,331.030272060352
"identity",13,150,-36.2081341072838,266.600394039859
"identity",14,150,-39.8008631705037,243.87606140407
"identity",15,150,-29.7793195515169,288.603179731563
"identity",16,150,-40.662137945046,231.715529673744
"identity",17,150,-41.4153395276667,310.644780141505
"identity",18,150,-36.2947165338554,277.371068931772
"identity",19,150,-29.42598685285,239.752358954875
"identity",20,150,-44.5263498896347,336.245726584001
"identity",21,150,-38.9040257318103,336.933953253978
"identity",22,150,-38.3105232401965,236.806821072451
"identity",23,150,-40.0135324722584,217.611917288287
"identity",24,150,-37.838078415198,270.869343078518
"identity",25,150,-37.6286343231434,296.640398609389
"identity",26,150,-34.1471034646221,239.077752397652
"identity",27,150,-43.2399805177656,258.666762147375
"identity",28,150,-33.4818517522858,413.701061869351
"identity",29,150,-34.9891480961193,296.194403981101
"identity",30,150,-34.3727041291083,327.146732504374
"identity",31,150,-36.5567035856565,418.44157450018
"identity",32,150,-34.8136001871571,290.305314628321
"identity",33,150,-57.0470854475007,237.05476531296
"identity",34,150,-34.8714289194117,417.511205354964
"identity",35,150,-37.5233179607175,322.424882686587
"identity",36,150,-31.3196630363467,268.442069338673
"identity",37,150,-34.7997951930681,236.84574856031
"identity",38,150,-40.9544811300918,303.012260796637
"identity",39,150,-34.3149966818647,223.256330239913
"identity",40,150,-37.7418624824596,259.191669169256
"identity",41,150,-47.251063410409,281.095572219681
"identity",42,150,-33.6814572634926,300.423793490937
"identity",43,150,-48.5300853221591,302.614244035868
"identity",44,150,-32.8921803084987,255.163763199671
"identity",45,150,-33.0558488104189,298.02391148186
"identity",46,150,-37.7082936731131,289.677792111597
"identity",47,150,-43.4050140415665,222.5193851817
"identity",48,150,-35.3736230924159,232.478876271006
"identity",49,150,-32.5430980180985,407.167103212987
"identity",50,150,-32.98385641522,279.790760620857
"identity",51,150,-37.1331528945952,247.418810425252
"identity",52,150,-47.3791282132307,254.933794004766
"identity",53,150,-34.8165033919366,343.782035913376
"identity",54,150,-39.8726344517115,274.084513091806
"identity",55,150,-28.6157307040191,394.493832391698
"identity",56,150,-47.980121456364,324.887464505661
"identity",57,150,-37.3638417771602,230.080414105284
"identity",58,150,-36.9979926179923,308.923389734406
"identity",59,150,-38.9323278752837,268.802056069636
"identity",60,150,-38.4502959314724,259.080826623398
"identity",61,150,-35.9459009413519,261.536698680704
"identity",62,150,-38.5098690238564,275.962649252095
"identity",63,150,-30.9624200106588,281.242959426006
"identity",64,150,-26.3531149455604,217.83524851425
"identity",65,150,-36.9805211906742,339.935404646738
"identity",66,150,-38.4791025225719,461.666387943275
"identity",67,150,-54.4387434771837,249.957699049307
"identity",68,150,-41.1255020928239,277.689030790801
"identity",69,150,-36.0359853249515,247.870422294676
"identity",70,150,-43.7003440743802,272.825862881171
"identity",71,150,-39.1051727604545,240.719262340516
"identity",72,150,-35.5405491992863,265.746128650828
"identity",73,150,-33.8256945937701,277.275731721128
"identity",74,150,-30.4013209355461,256.592033751756
"identity",75,150,-40.0186065493442,209.213471767864
"identity",76,150,-37.2600181958255,437.54795769181
"identity",77,150,-36.7082913461386,280.15986117287
"identity",78,150,-37.9339654693436,227.48327182779
"identity",79,150,-38.0438178062999,295.352689213836
"identity",80,150,-34.5536840432733,269.406723413523
"identity",81,150,-45.8094145344412,276.012954590726
"identity",82,150,-36.1452529767389,294.543442937217
"identity",83,150,-34.1373145455678,324.745563644044
"identity",84,150,-32.6600234746518,333.661063384499
"identity",85,150,-40.4669424240315,306.383209159378
"identity",86,150,-38.2888873039959,302.037034815746
"identity",87,150,-44.7761765632101,233.918400455177
"identity",88,150,-41.1634346720471,231.421497200743
"identity",89,150,-34.1726729957,241.839917357122
"identity",90,150,-39.8458570491286,278.832381483662
"identity",91,150,-40.7763641582723,274.309213898258
"identity",92,150,-33.4703438115292,251.22284417207
"identity",93,150,-35.0217815059245,267.270292547589
"identity",94,150,-39.1703357337465,312.875982898555
"identity",95,150,-35.7611905411161,309.349857299939
"identity",96,150,-38.4450222648376,383.162157265888
"identity",97,150,-60.4150013187575,354.266676258468
"identity",98,150,-30.3899465820711,227.431574466827
"identity",99,150,-34.3558182028736,265.647460710806
"identity",100,150,-34.5282675019494,343.694689300212
