"Scenario","Iteration","N_train","Latent_Min","Latent_Max"
"identity",1,200,-42.0328925050484,286.456098106301
"identity",2,200,-40.5444280321995,280.926640285414
"identity",3,200,-28.5753085233062,259.337481577151
"identity",4,200,-35.8627017757874,318.3191748239
"identity",5,200,-38.4504288774643,241.948430131247
"identity",6,200,-37.5014020777414,290.887721005851
"identity",7,200,-40.139613466451,337.367996358083
"identity",8,200,-49.9025500249552,269.079761634003
"identity",9,200,-34.5220446930762,232.938288384032
"identity",10,200,-41.459336071004,298.129556040259
"identity",11,200,-37.058902020556,294.64428646093
"identity",12,200,-39.715957182752,250.550583683973
"identity",13,200,-37.7421085341066,260.788654490251
"identity",14,200,-43.0700152427115,256.074949621687
"identity",15,200,-34.7752346965574,288.19224602545
"identity",16,200,-39.3244418132572,352.831147508198
"identity",17,200,-36.4064172143087,369.031898117102
"identity",18,200,-36.8522985098538,270.960976742496
"identity",19,200,-35.0911257968334,289.791573631204
"identity",20,200,-36.9580526599823,256.969810461968
"identity",21,200,-38.7602184486748,336.101338636546
"identity",22,200,-37.9707443756709,235.185318640049
"identity",23,200,-38.7092471429349,476.422602914979
"identity",24,200,-41.7034834643875,271.519034318129
"identity",25,200,-37.0538725616929,298.020011256578
"identity",26,200,-33.3412012813627,225.531824573937
"identity",27,200,-39.0468347003736,264.988362560585
"identity",28,200,-31.4993871016794,249.688157217479
"identity",29,200,-30.4697194844545,286.333993049926
"identity",30,200,-30.2496177842963,267.27345697394
"identity",31,200,-37.0196576275023,260.72706501751
"identity",32,200,-33.9449870780879,298.220693719289
"identity",33,200,-35.2010867515147,274.171417338929
"identity",34,200,-34.7920387016949,319.748123641086
"identity",35,200,-35.7410975477481,283.276478976474
"identity",36,200,-35.1757279454147,269.075314316643
"identity",37,200,-30.926537804007,236.333131262121
"identity",38,200,-41.6330285853693,567.989708378627
"identity",39,200,-37.2275931115131,207.43804618006
"identity",40,200,-38.273702442923,259.436588417871
"identity",41,200,-33.6456256314915,407.450527490476
"identity",42,200,-30.4312387742892,299.998404934114
"identity",43,200,-43.9850644297028,302.152315690838
"identity",44,200,-35.5718315744382,271.852448940172
"identity",45,200,-33.092980365261,296.4183487725
"identity",46,200,-33.790340650839,258.849224651123
"identity",47,200,-44.0115161753316,219.465631668712
"identity",48,200,-38.6150136128768,246.699236552209
"identity",49,200,-35.634747237326,269.275379915832
"identity",50,200,-32.5816130045485,228.950944842758
"identity",51,200,-30.1702865433428,241.289563109365
"identity",52,200,-34.3305811709568,323.786464942789
"identity",53,200,-36.8875477081415,302.430538719127
"identity",54,200,-39.7783694479154,274.613128573287
"identity",55,200,-39.0646302072408,394.558519385972
"identity",56,200,-49.1063961331623,323.758324986364
"identity",57,200,-30.4804633725391,345.989971213871
"identity",58,200,-36.4485299992087,275.319751371899
"identity",59,200,-37.716380673485,269.094641472484
"identity",60,200,-38.2750989489343,252.900117272375
"identity",61,200,-33.2602883607589,293.656039716373
"identity",62,200,-39.8853286513752,277.172311198921
"identity",63,200,-45.356441155757,290.401610270641
"identity",64,200,-31.0400729491528,217.10483987764
"identity",65,200,-27.7193527660387,339.320856470747
"identity",66,200,-45.2220685628825,459.800751056041
"identity",67,200,-33.2866299286147,354.18983835614
"identity",68,200,-41.2589813196082,280.507019128559
"identity",69,200,-35.5783757082714,276.513509411091
"identity",70,200,-41.995588647497,238.292920823365
"identity",71,200,-39.7362025623187,330.53028831076
"identity",72,200,-35.6556714951269,266.158651706306
"identity",73,200,-34.362787833895,439.53482697921
"identity",74,200,-34.9553542536506,260.881344167123
"identity",75,200,-38.2414071758563,286.963833084988
"identity",76,200,-38.898134087614,438.359112618608
"identity",77,200,-34.7105637448573,313.048459903669
"identity",78,200,-40.0681609439285,370.272354586656
"identity",79,200,-39.9238363917013,287.475756805613
"identity",80,200,-31.8235794107489,275.080674963951
"identity",81,200,-44.2119125515024,296.032402066809
"identity",82,200,-43.1805904451452,367.478026298342
"identity",83,200,-42.8462930548859,324.425039285498
"identity",84,200,-35.2422904891139,333.763843987833
"identity",85,200,-41.1299170564377,232.445287599457
"identity",86,200,-31.1954611108539,303.300421682312
"identity",87,200,-34.1025820145696,287.422754587195
"identity",88,200,-40.1259798566781,290.636179636898
"identity",89,200,-33.9848439328404,388.531356132138
"identity",90,200,-32.9251113130496,259.730900970089
"identity",91,200,-38.7735159630017,275.186064721104
"identity",92,200,-45.5894438871842,278.066543173777
"identity",93,200,-30.0157422825748,268.151269021484
"identity",94,200,-35.2180849382513,312.338276509673
"identity",95,200,-37.3753670949677,308.090882758211
"identity",96,200,-40.4229810527077,383.111902022163
"identity",97,200,-36.8594702361368,441.121901573019
"identity",98,200,-31.8404045945191,225.02270168464
"identity",99,200,-32.5368770501323,265.420110567973
"identity",100,200,-34.0779423760632,345.014675506085
